"id","event_date","event_time","event_name","actual","forecast","previous","actual_forecast","actual_previous","importance","report_period","unit","scale","update_date","update_time","update_news","update_pre","futures_relation_1","futures_relation_2","specific_relation_1","specific_relation_2","specific_relation_3","specific_relation_4","specific_relation_5","specific_relation_6","specific_relation_7","url","ignored","important"
"14839974","2022-05-04","14:00:00","Fed Funds Tgt Rate *",0.875,0.875,0.375,NULL,1.3333,2,"May. 5, 2022","%",NULL,"2022-05-05","04:02:02",True,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"14839975","2022-06-15","14:00:00","Fed Funds Tgt Rate *",NULL,NULL,NULL,NULL,NULL,2,"Jun. 15, 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"14839978","2022-05-04","14:00:00","Fed Int On Excess Reserves*",0.9,NULL,0.4,NULL,1.25,NULL,"May. 5, 2022","%",NULL,"2022-05-05","04:02:02",True,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"14839979","2022-06-15","14:00:00","Fed Int On Excess Reserves*",NULL,NULL,NULL,NULL,NULL,NULL,"Jun. 15, 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"14919465","2022-06-15","14:00:00","FFR Projection-1st Yr*",NULL,NULL,2.8,NULL,NULL,NULL,"Q2 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"14919465","2022-06-15","14:00:00","FFR Projection-2nd Yr*",NULL,NULL,2.8,NULL,NULL,NULL,"Q2 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"14919465","2022-06-15","14:00:00","FFR Projection-Current*",NULL,NULL,1.9,NULL,NULL,NULL,"Q2 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"14919465","2022-06-15","14:00:00","FFR Projection-Longer*",NULL,NULL,2.4,NULL,NULL,NULL,"Q2 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Interest","Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"15003031","2022-05-05","07:30:00","Challenger Layoffs",24.286,NULL,21.387,NULL,0.1355,-1,"Apr. 2022","Person","K","2022-05-05","07:33:07",True,False,"Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"15003032","2022-06-02","07:30:00","Challenger Layoffs",20.712,NULL,24.286,NULL,-0.1472,-1,"May. 2022","Person","K","2022-06-02","07:32:44",True,False,"Economy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"15016192","2022-05-24","08:00:00","Build Permits R Chg MM*",-3.0,NULL,1.2,NULL,-3.5,NULL,"Apr. 2022","%",NULL,"2022-05-24","08:34:44",True,False,"Economy",NULL,"ITB","WHR","HD","CX",NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"15016192","2022-05-24","08:00:00","Build Permits R Numb*",1.823,NULL,1.879,NULL,-0.0298,NULL,"Apr. 2022","Number of","M","2022-05-24","08:34:44",True,False,"Economy",NULL,"ITB","WHR","HD","CX",NULL,NULL,NULL,"https://www.tradingview.com/widget/economic-calendar/",False,NULL
"15019005","2022-06-15","08:30:00","Retail Control *",NULL,NULL,1.0,NULL,NULL,-1,"May. 2022","%",NULL,"2022-06-09","04:02:01",False,False,"Economy",NULL,"ETSY","BKE","RVLV","DASH","BOOT","AEO","M","https://www.tradingview.com/widget/economic-calendar/",False,NULL
"15019005","2022-06-15","08:30:00","Retail Ex Gas/Autos *",NULL,NULL,1.0,NULL,NULL,NULL,"May. 2022","%",NULL,"2022-06-09","04:02:01",False,False,"Economy",NULL,"ETSY","BKE","RVLV","DASH","BOOT","AEO","M","https://www.tradingview.com/widget/economic-calendar/",False,NULL
"15019005","2022-06-15","08:30:00","Retail Sales Ex-Autos MM *",NULL,0.8,0.6,NULL,NULL,NULL,"May. 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Economy",NULL,"ETSY","BKE","RVLV","DASH","BOOT","AEO","M","https://www.tradingview.com/widget/economic-calendar/",False,True
"15019005","2022-06-15","08:30:00","Retail Sales MM *",NULL,0.2,0.9,NULL,NULL,1,"May. 2022","%",NULL,"2022-06-09","04:02:02",False,False,"Economy",NULL,"ETSY","BKE","RVLV","DASH","BOOT","AEO","M","https://www.tradingview.com/widget/economic-calendar/",False,True
