"STUB_1","10/8/21","10/1/21","Difference","Percent Change","10/9/20","Difference","Percent Change"
"Crude Oil","1,043.945","1,038.657","5.288","0.500","1,129.956","-86.010","-7.600"
"Commercial (Excluding SPR)","426.975","420.887","6.088","1.400","489.109","-62.133","-12.700"
"Strategic Petroleum Reserve (SPR)","616.970","617.770","-0.800","-0.100","640.847","-23.877","-3.700"
"Total Motor Gasoline","223.107","225.065","-1.958","-0.900","225.121","-2.014","-0.900"
"Reformulated","0.024","0.026","-0.002","-7.700","0.041","-0.017","-41.500"
"Conventional","16.237","17.547","-1.310","-7.500","22.995","-6.758","-29.400"
"Blending Components","206.846","207.492","-0.646","-0.300","202.085","4.761","2.400"
"Fuel Ethanol","19.847","19.931","-0.083","-0.400","20.008","-0.160","-0.800"
"Kerosene-Type Jet Fuel","41.408","41.291","0.117","0.300","38.120","3.288","8.600"
"Distillate Fuel Oil","129.307","129.331","-0.024","0.000","164.551","-35.245","-21.400"
"15 ppm sulfur and Under","117.623","118.053","-0.429","-0.400","151.975","-34.352","-22.600"
"> 15 ppm to 500 ppm sulfur","3.344","3.205","0.139","4.300","3.520","-0.176","-5.000"
"> 500 ppm sulfur","8.340","8.073","0.267","3.300","9.056","-0.716","-7.900"
"Residual Fuel Oil","29.233","28.175","1.058","3.800","32.963","-3.730","-11.300"
"Propane/Propylene","71.700","72.288","-0.588","-0.800","99.897","-28.197","-28.200"
"Other Oils","297.134","296.825","0.310","0.100","332.570","-35.436","-10.700"
"Unfinished Oils","90.848","88.978","1.870","2.100","80.278","10.570","13.200"
"Total Stocks (Including SPR)","1,855.682","1,851.562","4.119","0.200","2,043.185","-187.504","-9.200"
"Total Stocks (Excluding SPR)","1,238.712","1,233.792","4.919","0.400","1,402.338","-163.627","-11.700"
"STUB_1","STUB_2","10/8/21","10/1/21","Difference","10/9/20","Difference","10/8/21","10/9/20","Percent Change","10/8/21","10/9/20","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","11,400","11,300","100","10,500","900","11,100","10,725","3.5","10,968","11,689","-6.2"
"Crude Oil Supply ","(2)        Alaska","452","448","4","450","2","442","440","0.4","446","446","0.1"
"Crude Oil Supply ","(3)        Lower 48","10,900","10,900","0","10,000","900","10,675","10,275","3.9","10,528","11,231","-6.3"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","3,480","4,921","-1,441","3,151","330","3,897","2,495","56.2","3,224","2,843","13.4"
"Crude Oil Supply ","(5)        Imports","5,994","7,035","-1,041","5,286","709","6,512","5,327","22.2","6,109","5,976","2.2"
"Crude Oil Supply ","(6)            Commercial Crude Oil","5,994","7,035","-1,041","5,286","709","6,512","5,327","22.2","6,109","5,976","2.2"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(9)        Exports","2,514","2,114","400","2,135","379","2,614","2,832","-7.7","2,885","3,132","-7.9"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","755","204","552","-711","1,466","205","-422","– –","-284","228","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","870","335","535","-545","1,415","340","-248","– –","-209","207","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","-114","-131","17","-166","51","-136","-175","– –","-75","21","– –"
"Crude Oil Supply ","(13)   Adjustment","936","-273","1,209","-785","1,721","599","-25","– –","546","52","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","15,061","15,744","-684","13,577","1,484","15,392","13,617","13.0","15,021","14,356","4.6"
"Other Supply ","(15)   Production","7,597","7,597","0","7,190","407","7,553","7,039","7.3","7,211","6,894","4.6"
