"STUB_1","10/1/21","9/24/21","Difference","Percent Change","10/2/20","Difference","Percent Change"
"Crude Oil","1,038.657","1,037.231","1.427","0.100","1,134.933","-96.275","-8.500"
"Commercial (Excluding SPR)","420.887","418.542","2.346","0.600","492.927","-72.039","-14.600"
"Strategic Petroleum Reserve (SPR)","617.770","618.689","-0.919","-0.100","642.006","-24.236","-3.800"
"Total Motor Gasoline","225.065","221.809","3.256","1.500","226.747","-1.682","-0.700"
"Reformulated","0.026","0.021","0.005","23.800","0.045","-0.019","-42.200"
"Conventional","17.547","19.402","-1.855","-9.600","23.342","-5.795","-24.800"
"Blending Components","207.492","202.386","5.106","2.500","203.360","4.132","2.000"
"Fuel Ethanol","19.931","20.220","-0.289","-1.400","19.672","0.258","1.300"
"Kerosene-Type Jet Fuel","41.291","42.609","-1.318","-3.100","39.590","1.700","4.300"
"Distillate Fuel Oil","129.331","129.727","-0.396","-0.300","171.796","-42.465","-24.700"
"15 ppm sulfur and Under","118.053","118.333","-0.281","-0.200","158.802","-40.749","-25.700"
"> 15 ppm to 500 ppm sulfur","3.205","3.105","0.101","3.200","3.540","-0.335","-9.500"
"> 500 ppm sulfur","8.073","8.289","-0.216","-2.600","9.454","-1.380","-14.600"
"Residual Fuel Oil","28.175","29.165","-0.990","-3.400","32.305","-4.129","-12.800"
"Propane/Propylene","72.288","72.921","-0.633","-0.900","101.842","-29.555","-29.000"
"Other Oils","296.825","297.994","-1.169","-0.400","334.255","-37.431","-11.200"
"Unfinished Oils","88.978","87.623","1.356","1.500","80.746","8.233","10.200"
"Total Stocks (Including SPR)","1,851.562","1,851.676","-0.114","0.000","2,061.140","-209.577","-10.200"
"Total Stocks (Excluding SPR)","1,233.792","1,232.987","0.805","0.100","1,419.134","-185.341","-13.100"
"STUB_1","STUB_2","10/1/21","9/24/21","Difference","10/2/20","Difference","10/1/21","10/2/20","Percent Change","10/1/21","10/2/20","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","11,300","11,100","200","11,000","300","10,775","10,825","-0.5","10,956","11,719","-6.5"
"Crude Oil Supply ","(2)        Alaska","448","438","10","459","-11","434","443","-2.0","446","446","0.1"
"Crude Oil Supply ","(3)        Lower 48","10,900","10,700","200","10,500","400","10,375","10,375","0.0","10,518","11,262","-6.6"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","4,921","3,532","1,389","3,073","1,848","3,812","2,311","65.0","3,217","2,835","13.5"
"Crude Oil Supply ","(5)        Imports","7,035","6,552","483","5,732","1,303","6,453","5,258","22.7","6,112","5,993","2.0"
"Crude Oil Supply ","(6)            Commercial Crude Oil","7,035","6,552","483","5,732","1,303","6,453","5,258","22.7","6,112","5,993","2.0"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(9)        Exports","2,114","3,020","-906","2,659","-545","2,642","2,947","-10.4","2,895","3,158","-8.3"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","204","528","-324","-92","296","-233","-477","– –","-311","252","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","335","654","-319","72","264","-106","-268","– –","-237","226","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","-131","-126","-6","-164","32","-126","-209","– –","-74","26","– –"
"Crude Oil Supply ","(13)   Adjustment","-273","1,310","-1,583","-312","39","404","-17","– –","536","73","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","15,744","15,415","330","13,853","1,891","15,223","13,595","12.0","15,020","14,376","4.5"
"Other Supply ","(15)   Production","7,597","7,504","94","7,023","575","7,519","6,992","7.5","7,201","6,886","4.6"
"Other Supply ","(16)      Natural Gas Plant Liquids","5,474","5,474","0","5,197","277","5,474","5,197","5.3","5,179","5,031","2.9"
"Other Supply ","(17)      Renewable Fuels/Oxygenate Plant","1,116","1,052","64","936","180","1,076","922","16.8","1,054","922","14.4"
"Other Supply ","(18)           Fuel Ethanol","978","914","64","923","55","938","909","3.3","963","885","8.8"
"Other Supply ","(19)          Other","138","138","0","13","125","138","13","967.7","92","36","150.7"
"Other Supply ","(20)      Refinery Processing Gain","1,008","978","30","890","118","968","873","10.8","968","933","3.7"
"Other Supply ","(21)   Net Imports","-2,256","-1,840","-416","-3,084","828","-2,099","-2,908","– –","-2,618","-3,053","– –"
"Other Supply ","(22)      Imports","2,585","2,708","-123","2,156","429","2,443","2,034","20.1","2,465","1,965","25.4"
"Other Supply ","(23)      Exports","4,841","4,548","293","5,240","-399","4,542","4,942","-8.1","5,083","5,018","1.3"
"Other Supply ","(24)   Stock Change (+/build; -/draw)","-220","907","-1,127","-354","134","120","64","– –","-166","311","– –"
